mode,radius,target_source_snr,arm,method,sites,threshold,recoveries,mean_search_snr,median_search_snr,mean_center_snr,mean_localization_error_pixels,median_relative_contrast_error,relative_contrast_error_scatter,mean_positive_minus_baseline_throughput
225,16.0,7.0,refit,radial_hann_m0p1_trunc0p75,6,2.241440534591675,6,8.244709650675455,7.5223846435546875,7.782913684844971,0.6666666666666666,-0.02226838863399674,0.07090982901748928,1.0040939043083201
225,16.0,7.0,refit,radial_hann_m0p1_trunc1p0,6,2.2297170162200928,6,8.277073860168457,7.598689317703247,7.87645165125529,0.5,-0.02681789970372759,0.07212480904658901,1.0041550171169942
225,20.0,3.0,frozen,native,6,2.465082883834839,4,2.8350491523742676,2.7697155475616455,2.5051554838816323,0.6666666666666666,-0.04001763742673268,0.1831533189797246,1.0145933524087876
225,20.0,3.0,frozen,gaussian_fwhm2p4,6,2.3901174068450928,5,3.1328038771947226,2.9149478673934937,3.0515517791112265,0.5,-0.19889583720928494,0.2444349395182667,1.0149294610868158
225,20.0,3.0,frozen,gaussian_fwhm3p0,6,2.2591285705566406,5,2.9899880091349282,2.657538890838623,2.930762012799581,0.5,-0.21546532911724073,0.26383872225712324,1.0154990694124844
225,20.0,3.0,frozen,gaussian_fwhm3p6,6,2.083890199661255,5,2.8222723404566445,2.485204815864563,2.7530530095100403,0.5,-0.21626755038734682,0.2944101160794986,1.0161427691167633
225,20.0,3.0,frozen,gaussian_fwhm4p2,6,1.8964521884918213,5,2.631846566994985,2.3966366052627563,2.542638580004374,0.6666666666666666,-0.18492893959538217,0.3365171109334513,1.0169192058068057
225,20.0,3.0,frozen,exact_identity,6,2.6846466064453125,3,2.9017170468966165,2.996755003929138,2.8281500140825906,0.6666666666666666,-0.14639649788950068,0.2661151850760022,1.0126696755923839
225,20.0,3.0,frozen,sparse_identity,6,2.5056700706481934,4,2.8529149889945984,2.9380356073379517,2.7747556964556375,0.5,-0.14013622858938857,0.2619520826033814,1.0125348945522774
225,20.0,3.0,frozen,exact_identity_lpf1p8,6,2.6782586574554443,4,2.851527690887451,2.942077398300171,2.7635772228240967,0.8333333333333334,-0.13010977149566544,0.27709307945451983,1.0131312382045041
225,20.0,3.0,frozen,exact_identity_lpf2p7,6,2.6487905979156494,4,2.7999081015586853,2.8545855283737183,2.6921318769454956,0.6666666666666666,-0.1365391358036488,0.2928355037903936,1.013716159411153
225,20.0,3.0,frozen,exact_isotropic_fitted_mean,6,2.6692416667938232,3,2.9071191946665444,3.059212565422058,2.706287940343221,0.8333333333333334,-0.16261808428274765,0.25495778919521456,1.0126696786626697
225,20.0,3.0,frozen,raw_rectangular_m0p3,6,2.8606293201446533,3,2.9554715553919473,2.8807170391082764,2.8804394404093423,0.5,-0.13033991236954412,0.2253402002207871,1.0122812568108548
225,20.0,3.0,frozen,radial_hann_m0p1_full,6,2.901301383972168,3,2.9371649821599326,2.8988927602767944,2.8103168408075967,0.3333333333333333,-0.1643654521722468,0.22286976532234484,1.0123390818534623
