combination,position,row,column,radius,pa_degrees,amplitude,template,cosine,fixed_position_bias_fraction,relative_template_error,best_scaled_template_error,paired_relative_template_error,one_sided_vs_paired_relative_error,fit_status,contrast_bias_fraction,position_error_pixels,row_error_pixels,column_error_pixels,raw_fit_status,raw_contrast_bias_fraction,raw_position_error_pixels,raw_row_error_pixels,raw_column_error_pixels
mean,4,98,98,41.71930009000631,135.0,0.0011909814823390977,refit,0.9875484412534349,-0.010979086257869142,0.15769672747026028,0.15731521279873392,0.15609266202792,0.008236234091707016,converged,-0.018471237767165305,0.032405940161289504,-0.010983754963155068,-0.030487736627149653,converged,0.10305526208483329,0.0868509587068355,0.03879128918602426,-0.07770665937731902
mean,4,98,98,41.71930009000631,135.0,0.004763925929356391,analytic,0.9846112823881168,-0.07745915205632559,0.19332634976367297,0.17475875541450817,0.18398403786182096,0.018582815067720936,converged,-0.08462010905842776,0.02817575246309954,-0.006467587444258127,-0.02742340860492609,converged,-0.05473729215566847,0.04141572009857302,0.0061606361822152955,-0.04095495614835554
mean,4,98,98,41.71930009000631,135.0,0.004763925929356391,refit,0.9874541078884728,-0.041198956543871845,0.16350750149092838,0.15790625324596924,0.15689098082797806,0.018582815067720936,converged,-0.048707827543197024,0.03158257189098976,-0.0074606226604509995,-0.03068872686782398,converged,-0.018493602442755108,0.0441516740215222,0.004522592681809101,-0.04391943162584422
mean,4,98,98,41.71930009000631,135.0,0.019055703717425564,analytic,0.9309430829413496,-0.38537016921067013,0.6885109757084212,0.3651643141431751,0.6744111144609755,0.028299952911188066,converged,-0.391518336131927,0.03897454348559825,-0.010022871966322011,-0.03766373690245706,converged,-0.384050086739428,0.042045177663705545,-0.006340145024118948,-0.04156440214709822
mean,4,98,98,41.71930009000631,135.0,0.019055703717425564,refit,0.9447412991682137,-0.35361065873100794,0.6120233923814878,0.3278168355133036,0.5984346905372809,0.028299952911188066,converged,-0.36018371154496165,0.04195359911204214,-0.010340736324308208,-0.040659238196565806,converged,-0.35263155949685066,0.044972800384844754,-0.006897755521601878,-0.044440676673733304
mean,5,157,157,41.71930009000631,315.0,0.0011909814823390977,analytic,0.9887222588015884,0.023106920641978057,0.15141644261737497,0.14976079243341778,0.15392639759234747,0.00816546398012039,converged,0.015759363358502476,0.022333386165850018,0.020692182062898468,-0.00840319814766044,converged,0.07173866908829662,0.23228449982816646,0.12511229823809522,-0.19571152671726666
mean,5,157,157,41.71930009000631,315.0,0.0011909814823390977,refit,0.9882047190732627,0.059703612296937214,0.16294532856405333,0.1531386078078742,0.16441670304456474,0.00816546398012039,converged,0.05202425039386949,0.022460324836235293,0.02129119127582113,-0.00715201830294121,converged,0.11139795454431556,0.2319167094775829,0.119018325747823,-0.19904772862581144
mean,5,157,157,41.71930009000631,315.0,0.004763925929356391,analytic,0.989336906141142,-0.013334043811423335,0.1462574674405009,0.14564506907916078,0.1555870271493981,0.02089481231027201,converged,-0.020513941843194217,0.024998285647120658,0.015324079560392168,-0.019750616975725332,converged,-0.007892530367710981,0.0780072540085306,0.043838269952711784,-0.0645239317269537
mean,5,157,157,41.71930009000631,315.0,0.004763925929356391,refit,0.9905727111895043,0.023771589297498563,0.1389054971788077,0.13698796971513627,0.14681747624186256,0.02089481231027201,converged,0.016226803680894353,0.024189139078712597,0.01604857492959999,-0.018098554972657777,converged,0.029604377622609812,0.07671316913972942,0.04283918624327665,-0.06363736670757669
mean,5,157,157,41.71930009000631,315.0,0.019055703717425564,analytic,0.9356631843382324,-0.3334363217260248,0.5861772332329657,0.35289432621400796,0.5871364776925866,0.033055924228973764,converged,-0.3398875937608864,0.027982804489150626,0.026790846081260256,-0.00808009364600748,converged,-0.33683543524040316,0.04045568594252347,0.0347768346387789,-0.020669646769771344
mean,5,157,157,41.71930009000631,315.0,0.019055703717425564,refit,0.9486304142701294,-0.29965839344223544,0.5146367488477595,0.3163863731605437,0.5147719879705991,0.033055924228973764,converged,-0.3065908788610925,0.02816189371586578,0.02767595080681806,-0.005209031061752967,converged,-0.303362417505046,0.03933182465621783,0.03502699226031858,-0.017891401397963413
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.0011909814823390977,analytic,0.9567598784841006,0.07754716000508943,0.29891718295105146,0.29087890078706197,0.29906868043487395,0.012741058972818294,converged,0.08452219610532108,0.20447136272273453,0.08393176937068025,-0.1864510559476642,bounded_peak,1.2121489177793947,1.0477173527471184,0.31258862942760723,-1.0
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.0011909814823390977,refit,0.9563044891806693,0.08090214184183986,0.30100648607718483,0.2923725773271147,0.3011943387051508,0.012741058972818294,converged,0.08827732358010887,0.2056126937024704,0.08393300860101549,-0.18770143813718576,bounded_peak,1.2347512465647847,1.0452442195234426,0.30419644713107763,-1.0
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.004763925929356391,analytic,0.957578583050938,0.06860532356450455,0.2946569493880198,0.28817227014783814,0.2962016655636595,0.02237971879911684,converged,0.07489388015251874,0.20324867368713215,0.08166516607943874,-0.18612045563235657,converged,0.29082616689367313,0.5957001790461833,0.2581291378436674,-0.536868747005951
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.004763925929356391,refit,0.9571652125769956,0.07197996020425546,0.29658971004689194,0.28954232131492413,0.2982445977376313,0.02237971879911684,converged,0.07865424196574633,0.20431504136405948,0.0816511345179678,-0.18729049190902902,converged,0.29805974378340805,0.6096345892343921,0.2635439271960509,-0.5497262326186267
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.019055703717425564,analytic,0.9620202641082669,-0.019313201936359103,0.27363469606138496,0.2729780420566113,0.2661595388977913,0.06412232486592383,converged,-0.02025861580031396,0.12241648009246169,0.027593642602164792,-0.1192660282149618,converged,0.029033398686818757,0.2465981263058737,0.0833282103029096,-0.23209275142770336
sigmaMean,0,120,137,12.103718436910205,38.29016319224307,0.019055703717425564,refit,0.9617539871184647,-0.016063762714333962,0.2743643726338306,0.2739147098308813,0.2671429616784875,0.06412232486592383,converged,-0.01667344611327304,0.12366723407555359,0.027806620450162356,-0.12050052548863999,converged,0.033258416912113065,0.25087981615126426,0.08486766634619691,-0.23608930801932293
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.0011909814823390977,analytic,0.9557919639053938,0.037190651431928456,0.2960342665033025,0.294043741191459,0.29838622407487575,0.06167895884653739,converged,0.04068070452290784,0.16892144812805882,-0.14583400892681264,0.08524609948856776,converged,0.7774351863460909,1.1424899387042053,0.9149257077607453,-0.6842471843704132
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.0011909814823390977,refit,0.9556142158053331,0.040859907126445494,0.2969995521081167,0.29462089292980875,0.29937023612693864,0.06167895884653739,converged,0.04478562081932158,0.17028867786554908,-0.1464244303035731,0.08693744888982424,converged,0.7885797834609869,1.123582959536043,0.9005480536427144,-0.6719016818256165
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.004763925929356391,analytic,0.9558089141859339,0.03306835166067623,0.2955763713533838,0.2939886384925523,0.2904864008266263,0.033520551217544874,converged,0.037907761068332935,0.17999457250806644,-0.15419998058509465,0.09284617450341193,converged,0.14446907252314167,0.6982352501769928,0.5805317496101554,-0.3879630810841408
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.004763925929356391,refit,0.9555677163787318,0.03665419351922128,0.2967017175160297,0.2947716733587802,0.2914434776748951,0.033520551217544874,converged,0.04194076529597246,0.18162100522502259,-0.15498222121730354,0.09469266415883792,converged,0.1525434691161731,0.6579522668488575,0.5461390991743911,-0.36692406544751854
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.019055703717425564,analytic,0.9604141537499058,-0.027305932691178203,0.2798777587746549,0.27857611756367695,0.27250041977571166,0.08311868571527962,converged,-0.022592926702936333,0.1804887618341644,-0.15323225047991773,0.09537332206277327,converged,0.009641608164139726,0.1252370217632807,-0.11599812134905618,0.047209611983430655
sigmaMean,1,137,120,12.103718436910205,231.70983680775691,0.019055703717425564,refit,0.9602082076556067,-0.02389263679039333,0.28027238688744,0.27928515526394715,0.27230020701881924,0.08311868571527962,converged,-0.01878419205985804,0.1815499578050481,-0.1535818537914484,0.09681426219827793,converged,0.014302561805197733,0.1288622255737674,-0.1186918618223689,0.05017683845126353
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.0011909814823390977,analytic,0.9963763728903391,0.04086337433599496,0.09361758284126705,0.08505365098507907,0.09210131543567897,0.009277058513236923,converged,0.03065537491025294,0.02354249560817269,0.017236421343186148,-0.01603604934954328,converged,-0.32023511876157096,0.6287876176042133,0.01683433006463808,0.6285622271371842
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.0011909814823390977,refit,0.9960998371412229,0.06178188151523134,0.105567423382598,0.08823329557049306,0.10435839968692881,0.009277058513236923,converged,0.05096877262148736,0.019671278858427437,0.013896946110759867,-0.013922431566384175,converged,-0.310286567194787,0.6267037695855855,0.012617005776988321,0.6265767518652492
sigmaMean,2,109,143,24.13503677229434,50.042451069170916,0.004763925929356391,analytic,0.9966811536933418,0.02757058675793389,0.08568431355188288,0.08140440941687092,0.08013309944378331,0.01928788395131525,converged,0.017663222033309056,0.03224732093448416,0.021994297206429092,-0.02358263339508304,converged,-0.0768564875605443,0.044625002673949775,0.022154257471456162,0.03873731714430484
